Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e64	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e103	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e106	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JS	Simonsen, Jan	M	1953	
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e111	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e127	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e145	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e163	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e181	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e199	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e217	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e235	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e243	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e250	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-09	ParlaMint-NO_2005-05-09.ana.ud100e269	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-09	2005-05-09	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-09	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
