Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e29	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e86	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e147	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e161	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e187	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e190	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.BÅH	Hoksrud, Bård	M	1973	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e197	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e202	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e205	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e253	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e256	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e265	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e268	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e282	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e297	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e326	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e342	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e351	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e359	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e367	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e393	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e467	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-10-09	ParlaMint-NO_2006-10-09.ana.ud1907e543	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-10-09	2006-10-09	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-10-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
