ParlaMint-NO_2007-12-04-lower.ana.ud1581e61	No one has asked for the floor. [[Fotation, see page 99]]
ParlaMint-NO_2007-12-04-lower.ana.ud1581e77	No one has asked for the floor. [[Footage, see page 100]]
ParlaMint-NO_2007-12-04-lower.ana.ud1581e93	At the request of the Health and Welfare Committee, the President will propose that speaking time be limited to 35 minutes and allocated up to 5 minutes to each lot. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies from the Council of State in the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-12-04-lower.ana.ud1581e102	The government has put forward proposals to introduce a special waiting guarantee for children and young people with mental health problems and young drug addicts under 23 years of age. The Committee stresses that these are vulnerable and vulnerable groups and that experience shows that to date they have not always received a satisfactory offer in the specialist health service. In Document No: 3:7 for 2006-2007, the National Audit Office’s survey of the supply of mental health problems to children and young people was strongly criticised by many factors — waiting time, quality of treatment, lack of available data and a number of other factors. The study also showed that services varied widely from region to region and also within the same region. Paragraph 2-2 of the Patient Rights Act states that when a patient is referred to a hospital or specialist outpatient clinic, the patient has the right to have his or her health status assessed within 30 days. For children and young people under 23 years of age, the deadline for evaluation will now be set at a maximum of 10 days. If the patient is entitled to the necessary health care, an individual deadline shall also be set for the time limit within which this assistance is to be provided at the latest. In the case of children and young people under 23 years of age, an individual deadline shall continue to be set, but no one shall now have to wait more than 65 working days. It is also the case that the maximum time limit will be considered to be lower when the assumptions justify it. If the treatment period is exceeded, the patient shall be entitled to treatment at other health establishments, private treatment centres or abroad. An obligation is also introduced for regional health establishments to designate the number of institutions or departments required to receive patients in need of acute or immediate drug treatment. Rapid and early treatment can help prevent a long life of disease, intoxication and crime, and, therefore, lack of treatment can have major human and social consequences. A unanimous committee is therefore in favour of introducing a waiting period guarantee both for the assessment of health status and for further treatment. The majority of the Committee, the members of the Progressive Party, the Right, the Christian People's Party and the Left, believe that there is a need for a wider range and more specialised treatment provision. These patients must be given a real right to choose between several alternatives under free hospital choice, and not only when time-limits arise. The members of these parties have registered the reluctance of the Government and health companies to resort strictly to the use of private contract specialists and day-to-day treatment services, which will be necessary to comply with today’s decision — if this is not to have adverse distortive effects. An overall committee refers to the positive offer given at Capio Anorexia Center in Fredrikstad, and believes that this is an offer that must continue to exist. The clinic has applied to be approved as a hospital, and wants to enter into free hospital choice, but with today's system will also depend on agreements with health care establishments. The Committee has highlighted the importance of maintaining different treatment and rehabilitation services for drug addicts. This applies to both LAR and drug-free offers with rehabilitation. The Party considers that institutions without fixed agreements with health undertakings should also be eligible for use. The majority of the Committee, the members of the Progress Party, the Right, the Christian People's Party and the Left, point out that there is a great deal of professional competence in the DPS and in the municipalities, and that there is still a great lack of medical and psychological specialists. More effective public treatment provision is expected by increasing the use of working time for patient-oriented activities. The members of these parties also believe that the hospital economy is overly governing the offer given, leading to an overly high threshold in order to obtain specialised or 24-hour services. An overall committee considers it important that the evaluation be carried out by psychiatrists or psychologists. The Committee believes that continued strengthening of the competences of municipalities needs to be continued, and that it is necessary to consider continuing to raise the profile of psychiatry. Without major changes in treatment provision, the members of the Progressive Party and the Right see a danger that the number of people entitled to treatment and the quality of treatment will be adapted to the existing treatment offer and not vice versa. While no direct economic impact is expected as a result of the introduction of the waiting time guarantee, the Progress Party is doubtful about this and has therefore invested 100 million in its alternative budget. extra in psychiatry drugs aimed at children and young people. The majority of the Committee, the members of the Progress Party, the Right, the Christian People's Party and the Left, assume that the Government is following up with the necessary appropriations to ensure that such a guarantee does not have a negative impact on other age groups within the same diagnosis group, and requests that the regulation be submitted to the Stortinget before it is implemented. I would also like to raise the proposal that the Progress Party has in the matter.
ParlaMint-NO_2007-12-04-lower.ana.ud1581e140	The representative of Vigdis Giltun has taken up the proposal she referred to.
ParlaMint-NO_2007-12-04-lower.ana.ud1581e143	I would like to thank the President-in-Office for a good and orderly presentation of the matter. The right starting point to support the proposal for a waiting time guarantee for children and young people under 23 years of age with mental or drug dependence is that we are open to testing all possible tools to improve the availability and quality of the supply of mental health protection for children and young people. There was also the background to the support of the Right in 2005 for a proposal to assess whether a waiting guarantee for the treatment of children and young people with mental illness could be an appropriate tool to reduce the waiting time for treatment. If we look at the Riksrevision's study on the offer to children and young people with mental problems, which was dealt with in the Stortinget yesterday, up to the issue we are dealing with today, I'm a little in doubt about a guarantee is the right answer to the challenges of child and youth psychiatry. I am in doubt that it will lead to improvements in the offer to children and young people, if there are no other measures in addition. It does not increase the number of places, it does not change how many patients a psychiatrist or psychologist meets per. today, and it does not change the interaction and cooperation challenges. The National Audit Office’s survey showed that there are too long waiting times, treatment quality is too variable, and there is a lack of available data on the need for outpatient services. It turns out that the coverage is too low and the overview of the use of the appropriations is too poor. The national audit also demonstrates that waiting list data only applies to the patients who are being offered, not to those who are being rejected. The proposal for a waiting guarantee also involves a breach of what has been in force up to now, namely an individual assessment of the need for assistance to determine when to start a treatment. The reason for the long wait is not problematic, nor is there any suggestion on how the government will remove the bottlenecks in the psychiatry. It also appears that most of the hearing bodies are also sceptical about the proposal, because it will not lead to more treatment sites. As I said at the outset, the Right is nevertheless positive to support the proposal for a separate waiting guarantee for children and young people under the age of 23, because we are willing to use all the tools in the hope of success and to give children and young people a good offer. However, we also see that a certain amount of goods for individual groups to be prioritised on the basis of age, not on the basis of professional assessments and the need for health care. I would like to ask the Council of State to follow this situation very closely and to have close contact with health companies and municipalities. The right considers that the waiting time guarantee needs to be accompanied by increased availability of treatment capacity and improved competence. Other measures that I would like to ask the Council of State to assess are extended opening hours for paediatric psychiatric services, an increased number of daily places for children and young people and increased professional and financial resources for outpatient teams. In addition, I believe it is essential to strengthen the professional competence of the municipalities. The Committee has also asked the Government to review the continued designation of the funds for psychiatry until this is put in place. Moreover, the Right believes that it is important to use the capacity of private psychologists and psychiatrists, and, of course, in the public domain. We have received many feedback that there is no capacity available, especially in the private sector. I refer to the Council of State's answer to my question in the Questionnaire on 22 November 2006 on monitoring the treatment capacity of child and youth psychiatry, when she said the following: "I think the most important thing about children and young people is to use the entire capacity we have, it's in public, where I think it's something to go on, or, to the extent that it's there, in private. That's what we're now trying to map." A year later, I have still not registered that this screening is available. Right now, we are promoting a proposal asking the Government to monitor the availability of treatment capacity in child and youth psychiatry and to present the matter to the Stortinge in an appropriate way. I'm addressing the proposal promoted by the Right. I also deal with the proposals on which the Right is the co-rapporteur. At the same time, I would like to warn you that the Right will vote in favour of the motion for a resolution tabled by the Group of the Party of European Socialists. 3rd@item: inlistbox
ParlaMint-NO_2007-12-04-lower.ana.ud1581e170	The representative Sonja Irene Sjøli has taken up the suggestions she referred to.
ParlaMint-NO_2007-12-04-lower.ana.ud1581e173	There are many children and young people who are struggling to deal with everyday life. Many of them may feel trapped in a world of anxiety. These people need help quickly, because they're a very vulnerable group. It is of great importance to address mental problems as quickly as possible, both to help those with difficulties and to prevent problems from becoming greater than is necessary. The Christian People's Party therefore supports the Government's proposal for a waiting guarantee. But for the Christian People's Party, it is important to see this proposal as a first step on the road to children and young people not experiencing waiting time to be treated for mental problems. There are several provisions that need to be put in place to achieve the goal of no waiting time for mental health care for children and young people. Firstly, there must be a strong commitment to prevention. One needs to facilitate the provision of free leisure time, so that children and young people can avoid drug problems such as alcohol. can cause major mental problems. Available adults who can be pictured, and a possibility of both seeing and being seen, are important. Among other things, voluntary organisations need to provide a good framework for this. Secondly, low-threshold services are of great importance, with the school staff in a special position. Accessibility of school services needs to be increased, including: through better opening times and better provision of help on the Internet and via SMS. But one must also, as far as possible, ensure firm professionals, in order to build up confidence and probability. The psychiatry escalation plan has given a positive effect to several annual health care services. This is what we want to continue. Thirdly, an evaluation shows that early intervention against children and young people with parents with mental and drug problems can be of great value. The Christian People's Party has proposed in its alternative budget a strengthening of measures for precisely these children. Fourthly, the Ministry of Health and Welfare must follow the reference made by the National Audit Office in its reports, if there is a lack of treatment for children and young people in need of mental health care. One of the main challenges facing the health sector today is the need for interaction between healthcare services to ensure that patients receive a better health supply. It also applies in the field of mental health protection. Patients have to meet a whole range of services, where child and youth psychiatry cooperates with health centres, PPTs, schools, kindergartens, permanents, etc. The funding system for the services must then support this objective. This is not good enough today. Ambulant activities and thus time for transport, meeting and contact between health professionals at different health levels and services, writing of reports and individual plans are activities that need to be included in the organisation of the treatment system and priorities. Furthermore, the transfer of competences between levels of health services should also be a priority task in order to provide patients with better treatment and provision. These are not activities that can be easily measured. There must be a height for the design of the funding system. This is a vulnerable group of children and young people who have difficulty meeting everyday life. For the Christian People's Party, it is therefore important that efforts be made to ensure the best possible treatment, so that children and young people receive good and qualified help as quickly as possible. Finally, I take up proposal No. 4 in the setting, to map the school health service provision and, on that basis, to assess the need for a national minimum standard for the school health service.
ParlaMint-NO_2007-12-04-lower.ana.ud1581e196	The representative Knut Arild Hareide has taken up the suggestion he referred to.
ParlaMint-NO_2007-12-04-lower.ana.ud1581e199	I'm not going to go up a long debate on mental health or the whole drug issue. But I want to say that I share the Hareide representative's description of how important it is to do good prevention in order to avoid young people becoming drug addicts or experiencing severe mental health problems, so prevention is a very important area. A lot of what we're dealing with in the area of health, is about repair, so pulling up lines in relation to prevention we should do a little more often, I think. This bill is important because it concerns children and young people – vulnerable people. It is therefore important to provide a separate guarantee. It is important to help children and young people out of a disability as early as possible, once a person has become ill or has become addicted to drugs. A waiting warranty believes many are of little value. But I believe that when Stortinget adopts a waiting guarantee for children and young people in these two areas, there is also a clear and clear signal from the legislator that this is a priority and a clarification that society wants to set up for this group. We believe that providing a guarantee for children and young people will not weaken the offer to others and in a few days we will adopt a health budget that will strengthen the provision of mental health protection and care and treatment services for drug addicts. I would also like to say that the supply of mental health protection and care varies between regional health companies. The reasons for this are complex, and it is precisely for this reason that it is important that this guarantee comes in the form of law.
ParlaMint-NO_2007-12-04-lower.ana.ud1581e210	The left has four profile areas. One of these is social responsibility. Our point is, more to those who need it the most. It is precisely those who need the most, who are the main people today, namely children and young people under the age of 23 with mental illness or who are drug addicts. That is why it is an important matter we are debating today. The purpose of the case we are dealing with today is to strengthen the rights to health care provided by the specialist services for a very vulnerable group. Verchemidla – for which there is a reasonable consensus – is among other things. a shorter assessment period, a special treatment guarantee and a better interaction between the level of municipal health services and the level of specialist health services. I could probably have dragged it any longer, but I shouldn't. Yesterday, Stortinget deals with the Riksrevision's study of the supply of children and young people with mental health problems, Document No. 3:7 for 2006-2007. I'm not going to go into it that much. But the main impression from the investigation, and also from yesterday's debate, is that we have a long way to go before we can say that the provision of this vulnerable group is satisfactory. I'm afraid it's easy just to talk and make plans. But what's important is to get action done. One thing that the Riksrevision report revealed was that there is enormous variation in the perception of what is perceived as reasonable waiting times around the treatment system in our country. I believe that the issue we are dealing with today about a waiting period guarantee and an assessment deadline will be a positive contribution to strengthening patient rights for a group of patients who absolutely need more attention. The party of progress, the Right, the Christian People's Party and the Left are united on a note related to an offer description of drug treatment in Health South-East. There is a concern here that the supply documents are getting too narrow and that the possibility of getting school and individual treatment is shrinking. Here, the government needs to follow closely to ensure that the individual drug user is provided with the best possible supply and tailored to their individual needs. For the Left, it is important to fight against drug abuse and not against the drug user. Therefore, we are concerned with harm reduction and a flexible and individual approach to the individual drug user. We need a mandatory escalating plan for the drug field with sufficient financial resources. There is a need for more fresh resources for emergency services, and a new treatment route is needed. After detoxification, drug users must enter either outpatient or other treatment within a short time. The health service within the care system must count in relation to obtaining specialist competence. There is also a need to provide firm medical services as part of outpatient themes. On the left, I think that certain people have to be able to apply for LAR treatment for their patients. LAR patients need adequate housing and rehabilitation outside the drug setting, and the LAR system needs to provide health care. We need more flexibility and a smaller bureaucratic treatment network, and we need to be able to increase the height of aberrations, and reintroduce drug users after an aberration. Finally, I would just like to announce from the Left's side that we want to support proposal No. 5, presented by Sonja Irene Sjøli on behalf of Right.
