Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2013-04-11	ParlaMint-NO_2013-04-11.ana.ud2437e29	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-04-11	2013-04-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-04-11	ParlaMint-NO_2013-04-11.ana.ud2437e52	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-04-11	2013-04-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-04-11	ParlaMint-NO_2013-04-11.ana.ud2437e63	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-04-11	2013-04-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-04-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.UIL	Leirstein, Ulf Isak	M	1973	
ParlaMint-NO-en_2013-04-11	ParlaMint-NO_2013-04-11.ana.ud2437e70	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-04-11	2013-04-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-04-11	ParlaMint-NO_2013-04-11.ana.ud2437e73	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-04-11	2013-04-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-04-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.BTH	Thorsen, Bente	F	1958	
ParlaMint-NO-en_2013-04-11	ParlaMint-NO_2013-04-11.ana.ud2437e78	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-04-11	2013-04-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-04-11	ParlaMint-NO_2013-04-11.ana.ud2437e81	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-04-11	2013-04-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-04-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KKK	Kjos, Kari Kjønaas	F	1962	
ParlaMint-NO-en_2013-04-11	ParlaMint-NO_2013-04-11.ana.ud2437e89	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-04-11	2013-04-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-04-11	ParlaMint-NO_2013-04-11.ana.ud2437e92	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-04-11	2013-04-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-04-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.RE	Eriksson, Robert	M	1974	
ParlaMint-NO-en_2013-04-11	ParlaMint-NO_2013-04-11.ana.ud2437e97	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-04-11	2013-04-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-04-11	ParlaMint-NO_2013-04-11.ana.ud2437e100	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-04-11	2013-04-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-04-11	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.ØH	Håbrekke, Øyvind	M	1969	
ParlaMint-NO-en_2013-04-11	ParlaMint-NO_2013-04-11.ana.ud2437e105	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-04-11	2013-04-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2013-04-11	ParlaMint-NO_2013-04-11.ana.ud2437e121	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2013-04-11	2013-04-11	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2013-04-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
