Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2018-11-29	ParlaMint-NO_2018-11-29.ana.ud346e73	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-29	2018-11-29	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2018-11-29	ParlaMint-NO_2018-11-29.ana.ud346e118	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-29	2018-11-29	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2018-11-29	ParlaMint-NO_2018-11-29.ana.ud346e138	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-29	2018-11-29	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2018-11-29	ParlaMint-NO_2018-11-29.ana.ud346e147	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-29	2018-11-29	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-29	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HELO	Orten, Helge	M	1966	
ParlaMint-NO-en_2018-11-29	ParlaMint-NO_2018-11-29.ana.ud346e168	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-29	2018-11-29	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-29	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KILE	Leirtrø, Kirsti	F	1963	
ParlaMint-NO-en_2018-11-29	ParlaMint-NO_2018-11-29.ana.ud346e183	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-29	2018-11-29	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2018-11-29	ParlaMint-NO_2018-11-29.ana.ud346e188	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-29	2018-11-29	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-29	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.SIMOS	Mossleth, Siv	F	1967	
ParlaMint-NO-en_2018-11-29	ParlaMint-NO_2018-11-29.ana.ud346e199	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-29	2018-11-29	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-29	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.ARNEV	Nævra, Arne	M	1953	
ParlaMint-NO-en_2018-11-29	ParlaMint-NO_2018-11-29.ana.ud346e241	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-29	2018-11-29	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2018-11-29	ParlaMint-NO_2018-11-29.ana.ud346e246	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2018-2019, Sitting day 2018-11-29	2018-11-29	Unicameralism	Term 2017-2021	Session 2018-2019	-	Sitting day 2018-11-29	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.HFG	Grøvan, Hans Fredrik	M	1953	
