Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL-en_2017-06-21-sejm-44-2	ParlaMint-PL_2017-06-21-sejm-44-2.u1	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 44, Day 2 (2017-06-21)	2017-06-21	Lower house	8. kadencja Sejmu	44. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	MarekKuchciński	Kuchciński, Marek	M	1955	
ParlaMint-PL-en_2017-06-21-sejm-44-2	ParlaMint-PL_2017-06-21-sejm-44-2.u2	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 44, Day 2 (2017-06-21)	2017-06-21	Lower house	8. kadencja Sejmu	44. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	KatarzynaOsos	Osos, Katarzyna	F	1980	
ParlaMint-PL-en_2017-06-21-sejm-44-2	ParlaMint-PL_2017-06-21-sejm-44-2.u3	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 44, Day 2 (2017-06-21)	2017-06-21	Lower house	8. kadencja Sejmu	44. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	MałgorzataKidawaBłońska	Kidawa-Błońska, Małgorzata	F	1957	
ParlaMint-PL-en_2017-06-21-sejm-44-2	ParlaMint-PL_2017-06-21-sejm-44-2.u4	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 44, Day 2 (2017-06-21)	2017-06-21	Lower house	8. kadencja Sejmu	44. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	BożenaKamińska	Kamińska, Bożena	F	1965	
ParlaMint-PL-en_2017-06-21-sejm-44-2	ParlaMint-PL_2017-06-21-sejm-44-2.u5	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 44, Day 2 (2017-06-21)	2017-06-21	Lower house	8. kadencja Sejmu	44. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	MałgorzataKidawaBłońska	Kidawa-Błońska, Małgorzata	F	1957	
ParlaMint-PL-en_2017-06-21-sejm-44-2	ParlaMint-PL_2017-06-21-sejm-44-2.u6	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 44, Day 2 (2017-06-21)	2017-06-21	Lower house	8. kadencja Sejmu	44. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	Minister	-	-	-	-	JanSzyszko	Szyszko, Jan	M	1944	
ParlaMint-PL-en_2017-06-21-sejm-44-2	ParlaMint-PL_2017-06-21-sejm-44-2.u7	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 44, Day 2 (2017-06-21)	2017-06-21	Lower house	8. kadencja Sejmu	44. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	MałgorzataKidawaBłońska	Kidawa-Błońska, Małgorzata	F	1957	
ParlaMint-PL-en_2017-06-21-sejm-44-2	ParlaMint-PL_2017-06-21-sejm-44-2.u8	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 44, Day 2 (2017-06-21)	2017-06-21	Lower house	8. kadencja Sejmu	44. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	GabrielaLenartowicz	Lenartowicz, Gabriela	F	1960	
ParlaMint-PL-en_2017-06-21-sejm-44-2	ParlaMint-PL_2017-06-21-sejm-44-2.u9	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 44, Day 2 (2017-06-21)	2017-06-21	Lower house	8. kadencja Sejmu	44. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	MałgorzataKidawaBłońska	Kidawa-Błońska, Małgorzata	F	1957	
ParlaMint-PL-en_2017-06-21-sejm-44-2	ParlaMint-PL_2017-06-21-sejm-44-2.u10	Report of the session of the Sejm of the Republic of Poland, Term 8, Session 44, Day 2 (2017-06-21)	2017-06-21	Lower house	8. kadencja Sejmu	44. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	GabrielaLenartowicz	Lenartowicz, Gabriela	F	1960	
