Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PT-en_2018-06-14	ParlaMint-PT_2018-06-14.u1	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 94	2018-06-14	Unicameralism	Série I - XIII Legislatura	Sessão 3	Número 94	14.06.2018	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	JorgeLacãoCosta	Lacão Costa, Jorge	M	1954	
ParlaMint-PT-en_2018-06-14	ParlaMint-PT_2018-06-14.u2	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 94	2018-06-14	Unicameralism	Série I - XIII Legislatura	Sessão 3	Número 94	14.06.2018	-	Reference	English	Regular	MP	notMinister	GP-PSD	Grupo Parlamentar do Partido Social Democrata	Opposition	Centre-right	DuarteRogérioMatosVenturaPacheco	Rogério Matos Ventura Pacheco, Duarte	M	1965	
ParlaMint-PT-en_2018-06-14	ParlaMint-PT_2018-06-14.u3	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 94	2018-06-14	Unicameralism	Série I - XIII Legislatura	Sessão 3	Número 94	14.06.2018	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	JorgeLacãoCosta	Lacão Costa, Jorge	M	1954	
ParlaMint-PT-en_2018-06-14	ParlaMint-PT_2018-06-14.u4	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 94	2018-06-14	Unicameralism	Série I - XIII Legislatura	Sessão 3	Número 94	14.06.2018	-	Reference	English	Regular	MP	notMinister	GP-PSD	Grupo Parlamentar do Partido Social Democrata	Opposition	Centre-right	JoséMariaLopesSilvano	Maria Lopes Silvano, José	M	1957	
ParlaMint-PT-en_2018-06-14	ParlaMint-PT_2018-06-14.u5	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 94	2018-06-14	Unicameralism	Série I - XIII Legislatura	Sessão 3	Número 94	14.06.2018	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	JorgeLacãoCosta	Lacão Costa, Jorge	M	1954	
ParlaMint-PT-en_2018-06-14	ParlaMint-PT_2018-06-14.u6	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 94	2018-06-14	Unicameralism	Série I - XIII Legislatura	Sessão 3	Número 94	14.06.2018	-	Reference	English	Regular	notMP	Minister	Independente	Independente	-	-	FranciscaEugéniadaSilvaDiasVanDunem	Eugénia da Silva Dias Van Dunem, Francisca	F	1955	
ParlaMint-PT-en_2018-06-14	ParlaMint-PT_2018-06-14.u7	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 94	2018-06-14	Unicameralism	Série I - XIII Legislatura	Sessão 3	Número 94	14.06.2018	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	JorgeLacãoCosta	Lacão Costa, Jorge	M	1954	
ParlaMint-PT-en_2018-06-14	ParlaMint-PT_2018-06-14.u8	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 94	2018-06-14	Unicameralism	Série I - XIII Legislatura	Sessão 3	Número 94	14.06.2018	-	Reference	English	Regular	notMP	Minister	Independente	Independente	-	-	FranciscaEugéniadaSilvaDiasVanDunem	Eugénia da Silva Dias Van Dunem, Francisca	F	1955	
ParlaMint-PT-en_2018-06-14	ParlaMint-PT_2018-06-14.u9	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 94	2018-06-14	Unicameralism	Série I - XIII Legislatura	Sessão 3	Número 94	14.06.2018	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	JorgeLacãoCosta	Lacão Costa, Jorge	M	1954	
ParlaMint-PT-en_2018-06-14	ParlaMint-PT_2018-06-14.u10	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 94	2018-06-14	Unicameralism	Série I - XIII Legislatura	Sessão 3	Número 94	14.06.2018	-	Reference	English	Regular	MP	notMinister	GP-PSD	Grupo Parlamentar do Partido Social Democrata	Opposition	Centre-right	JoséMariaLopesSilvano	Maria Lopes Silvano, José	M	1957	
