Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2840	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	MirovićIgor	Mirović, Igor	M	1968	
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2841	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2842	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Regular	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	RuždićTrifunovićLeila	Ruždić-Trifunović, Leila	F	1940	
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2843	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2844	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Regular	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	RuždićTrifunovićLeila	Ruždić-Trifunović, Leila	F	1940	
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2845	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2846	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Regular	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	MarkovićMilan	Marković, Milan	M	1970	
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2847	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2848	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Regular	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	RuždićTrifunovićLeila	Ruždić-Trifunović, Leila	F	1940	
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2849	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Chairperson	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	MarkovićPredrag	Marković, Predrag	M	1955	
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2850	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	MirovićIgor	Mirović, Igor	M	1968	
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2851	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	KrstićEmilija	Krstić, Emilija	F	1964	
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2852	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	KrasićZoran	Krasić, Zoran	M	1956	
ParlaMint-RS-en_2004-05-11-0	ParlaMint-RS_2004-05-11-0.u2853	Term 6, Meeting 11	2004-05-11	Unicameralism	6. mandat	-	Zasedanje 11	2004-05-21	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	KrstićEmilija	Krstić, Emilija	F	1964	
