Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2004-06-30-0	ParlaMint-RS_2004-06-30-0.u4554	Term 6, Meeting v5	2004-06-30	Unicameralism	6. mandat	-	Zasedanje v5	2005-06-02	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2004-06-30-0	ParlaMint-RS_2004-06-30-0.u4555	Term 6, Meeting v5	2004-06-30	Unicameralism	6. mandat	-	Zasedanje v5	2005-06-02	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	VučićAleksandar	Vučić, Aleksandar	M	1970	
ParlaMint-RS-en_2004-06-30-0	ParlaMint-RS_2004-06-30-0.u4556	Term 6, Meeting v5	2004-06-30	Unicameralism	6. mandat	-	Zasedanje v5	2005-06-02	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2004-06-30-0	ParlaMint-RS_2004-06-30-0.u4557	Term 6, Meeting v5	2004-06-30	Unicameralism	6. mandat	-	Zasedanje v5	2005-06-02	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	StojkovićZoran	Stojković, Zoran	U	-	
ParlaMint-RS-en_2004-06-30-0	ParlaMint-RS_2004-06-30-0.u4558	Term 6, Meeting v5	2004-06-30	Unicameralism	6. mandat	-	Zasedanje v5	2005-06-02	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2004-06-30-0	ParlaMint-RS_2004-06-30-0.u4559	Term 6, Meeting v5	2004-06-30	Unicameralism	6. mandat	-	Zasedanje v5	2005-06-02	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	VučićAleksandar	Vučić, Aleksandar	M	1970	
ParlaMint-RS-en_2004-06-30-0	ParlaMint-RS_2004-06-30-0.u4560	Term 6, Meeting v5	2004-06-30	Unicameralism	6. mandat	-	Zasedanje v5	2005-06-02	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2004-06-30-0	ParlaMint-RS_2004-06-30-0.u4561	Term 6, Meeting v5	2004-06-30	Unicameralism	6. mandat	-	Zasedanje v5	2005-06-02	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	MirčićMilorad	Mirčić, Milorad	M	1956	
ParlaMint-RS-en_2004-06-30-0	ParlaMint-RS_2004-06-30-0.u4562	Term 6, Meeting v5	2004-06-30	Unicameralism	6. mandat	-	Zasedanje v5	2005-06-02	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
ParlaMint-RS-en_2004-06-30-0	ParlaMint-RS_2004-06-30-0.u4563	Term 6, Meeting v5	2004-06-30	Unicameralism	6. mandat	-	Zasedanje v5	2005-06-02	-	Reference	English	Regular	MP	notMinister	NS	Nova Srbija	Coalition	Right	VučićevićVladan	Vučićević, Vladan	M	1955	
ParlaMint-RS-en_2004-06-30-0	ParlaMint-RS_2004-06-30-0.u4564	Term 6, Meeting v5	2004-06-30	Unicameralism	6. mandat	-	Zasedanje v5	2005-06-02	-	Reference	English	Chairperson	MP	notMinister	SPO	Srpski pokret obnove	Coalition	Centre-right	MihailovićVojislav	Mihailović, Vojislav	M	1951	
