Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-3	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-9	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5109735	Holm, Christian	M	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-15	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-17	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5109735	Holm, Christian	M	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-21	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-28	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5564796	Bali, Hanif	M	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-34	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6169540	Schulte, Fredrik	M	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-43	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3374622	Jansson, Eva-Lena	F	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-46	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-54	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5564796	Bali, Hanif	M	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-62	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6169540	Schulte, Fredrik	M	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-70	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3374622	Jansson, Eva-Lena	F	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-76	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5577436	Björck, Patrik	M	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-87	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5109735	Holm, Christian	M	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-92	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-101	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5564796	Bali, Hanif	M	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-105	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6169540	Schulte, Fredrik	M	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-110	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q5577436	Björck, Patrik	M	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-115	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5109735	Holm, Christian	M	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-120	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-123	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3369258	Johansson, Ylva	F	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-127	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4941068	Brännström, Katarina	F	-	
ParlaMint-SE-en_2015-12-08-prot-201516--41	i-a68dc1f99cf02c8c-139	Swedish parliamentary corpus ParlaMint-SE-en, 2015/16 nr. 41	2015-12-08	Unicameralism	2015/16	-	-	2015/16--41	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3374622	Jansson, Eva-Lena	F	-	
