Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-02-03-prot-201617--66	i-47238fe83665ab36-5	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 66	2017-02-03	Unicameralism	2016/17	-	-	2016/17--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2017-02-03-prot-201617--66	i-47238fe83665ab36-8	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 66	2017-02-03	Unicameralism	2016/17	-	-	2016/17--66	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3373324	Granlund, Marie	F	-	
ParlaMint-SE-en_2017-02-03-prot-201617--66	i-47238fe83665ab36-15	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 66	2017-02-03	Unicameralism	2016/17	-	-	2016/17--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2017-02-03-prot-201617--66	i-47238fe83665ab36-18	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 66	2017-02-03	Unicameralism	2016/17	-	-	2016/17--66	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3373324	Granlund, Marie	F	-	
ParlaMint-SE-en_2017-02-03-prot-201617--66	i-47238fe83665ab36-21	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 66	2017-02-03	Unicameralism	2016/17	-	-	2016/17--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2017-02-03-prot-201617--66	i-47238fe83665ab36-24	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 66	2017-02-03	Unicameralism	2016/17	-	-	2016/17--66	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3373324	Granlund, Marie	F	-	
ParlaMint-SE-en_2017-02-03-prot-201617--66	i-47238fe83665ab36-27	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 66	2017-02-03	Unicameralism	2016/17	-	-	2016/17--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2017-02-03-prot-201617--66	i-47238fe83665ab36-28	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 66	2017-02-03	Unicameralism	2016/17	-	-	2016/17--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2017-02-03-prot-201617--66	i-47238fe83665ab36-34	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 66	2017-02-03	Unicameralism	2016/17	-	-	2016/17--66	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2017-02-03-prot-201617--66	i-47238fe83665ab36-46	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 66	2017-02-03	Unicameralism	2016/17	-	-	2016/17--66	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3373324	Granlund, Marie	F	-	
ParlaMint-SE-en_2017-02-03-prot-201617--66	i-47238fe83665ab36-49	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 66	2017-02-03	Unicameralism	2016/17	-	-	2016/17--66	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2017-02-03-prot-201617--66	i-47238fe83665ab36-53	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 66	2017-02-03	Unicameralism	2016/17	-	-	2016/17--66	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2017-02-03-prot-201617--66	i-47238fe83665ab36-62	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 66	2017-02-03	Unicameralism	2016/17	-	-	2016/17--66	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3373324	Granlund, Marie	F	-	
