Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-1	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-3	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4975481	Rosencrantz, Jessica	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-6	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-9	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4975481	Rosencrantz, Jessica	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-11	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-13	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q15963975	Marttinen, Adam	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-15	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-17	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q15963975	Marttinen, Adam	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-19	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-21	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4941925	Löfdahl, Emma Carlsson	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-23	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-27	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4941925	Löfdahl, Emma Carlsson	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-31	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-33	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255956	Åsling, Per	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-36	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-39	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255956	Åsling, Per	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-42	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-45	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q30035705	Lantz, Gustaf	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-48	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-53	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q30035705	Lantz, Gustaf	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-56	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-58	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4981717	Szyber, Caroline	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-63	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-67	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4981717	Szyber, Caroline	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-69	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-72	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q5973694	Malmberg, Niclas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-76	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-79	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q5973694	Malmberg, Niclas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-80	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-81	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4769201	Engblom, Annicka	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-85	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-90	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4769201	Engblom, Annicka	F	-	
