Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-3M5f8iqNC1totYtiE6MmMV	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-D28VqV3PNf8shSoVhfBbyo	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5596130	Beckman, Lars	M	-	
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-SGQ99jEBnun5jnRhWYQGnd	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-4McYwEmdCch5r9vxShiujQ	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5596130	Beckman, Lars	M	-	
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-qHaYNnAeFGffUkV7vpf26	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-SpJGHmCPzN7DzdsgsrYURA	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5596130	Beckman, Lars	M	-	
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-RzTbMHshEwrEfaAyhEPv17	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-NMPtSGc94rwzXLdf9Ctupr	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-9eJTDiTKLCNUoELWVoJrKf	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5596130	Beckman, Lars	M	-	
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-Ns6RyNhGyR2wonReMj3Hra	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-NbD2EeSNhm7XyvFvFiArVV	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5596130	Beckman, Lars	M	-	
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-DPiJtHpD8S4ajNm4JLhSzj	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-5haYvNY4pFFKN7m82VaDTS	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5596130	Beckman, Lars	M	-	
ParlaMint-SE-en_2022-04-05-prot-202122--93	i-ErSQKQGZaWWL7S1zTQKVp4	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 93	2022-04-05	Unicameralism	2021/22	-	-	2021/22--93	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
