Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2000-11-17-SDZ3-Izredna-01	ParlaMint-SI_2000-11-17-SDZ3-Izredna-01.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 1, (17. 11. 2000)	2000-11-17	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	LDS	Liberal Democracy of Slovenia	-	Centre to centre-left	PavliničKrebsIrma	Pavlinič Krebs, Irma	F	1963	
ParlaMint-SI-en_2000-11-17-SDZ3-Izredna-01	ParlaMint-SI_2000-11-17-SDZ3-Izredna-01.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 1, (17. 11. 2000)	2000-11-17	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	LDS	Liberal Democracy of Slovenia	-	Centre to centre-left	PavliničKrebsIrma	Pavlinič Krebs, Irma	F	1963	
ParlaMint-SI-en_2000-11-17-SDZ3-Izredna-01	ParlaMint-SI_2000-11-17-SDZ3-Izredna-01.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 1, (17. 11. 2000)	2000-11-17	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	LDS	Liberal Democracy of Slovenia	-	Centre to centre-left	AnderličAnton	Anderlič, Anton	M	1956	
ParlaMint-SI-en_2000-11-17-SDZ3-Izredna-01	ParlaMint-SI_2000-11-17-SDZ3-Izredna-01.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 1, (17. 11. 2000)	2000-11-17	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	LDS	Liberal Democracy of Slovenia	-	Centre to centre-left	PavliničKrebsIrma	Pavlinič Krebs, Irma	F	1963	
ParlaMint-SI-en_2000-11-17-SDZ3-Izredna-01	ParlaMint-SI_2000-11-17-SDZ3-Izredna-01.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 1, (17. 11. 2000)	2000-11-17	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SLS+SKD	Slovenian People's Party and Slovene Christian Democrats	-	Centre-right	KanglerFranc	Kangler, Franc	M	1965	
ParlaMint-SI-en_2000-11-17-SDZ3-Izredna-01	ParlaMint-SI_2000-11-17-SDZ3-Izredna-01.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 1, (17. 11. 2000)	2000-11-17	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	LDS	Liberal Democracy of Slovenia	-	Centre to centre-left	PavliničKrebsIrma	Pavlinič Krebs, Irma	F	1963	
ParlaMint-SI-en_2000-11-17-SDZ3-Izredna-01	ParlaMint-SI_2000-11-17-SDZ3-Izredna-01.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 1, (17. 11. 2000)	2000-11-17	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SNS	Slovenian National Party	-	Right to far-right	PečeSašo	Peče, Sašo	M	1971	
ParlaMint-SI-en_2000-11-17-SDZ3-Izredna-01	ParlaMint-SI_2000-11-17-SDZ3-Izredna-01.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 1, (17. 11. 2000)	2000-11-17	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	LDS	Liberal Democracy of Slovenia	-	Centre to centre-left	PavliničKrebsIrma	Pavlinič Krebs, Irma	F	1963	
ParlaMint-SI-en_2000-11-17-SDZ3-Izredna-01	ParlaMint-SI_2000-11-17-SDZ3-Izredna-01.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 1, (17. 11. 2000)	2000-11-17	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	ZLSD	United List of Social Democrats	-	Centre-left	PotrčMiran	Potrč, Miran	M	1938	
ParlaMint-SI-en_2000-11-17-SDZ3-Izredna-01	ParlaMint-SI_2000-11-17-SDZ3-Izredna-01.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 1, (17. 11. 2000)	2000-11-17	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	LDS	Liberal Democracy of Slovenia	-	Centre to centre-left	PavliničKrebsIrma	Pavlinič Krebs, Irma	F	1963	
