Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2021-12-15-SDZ8-Izredna-89	ParlaMint-SI_2021-12-15-SDZ8-Izredna-89.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 89, (15. 12. 2021)	2021-12-15	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	NP	Parliamentary group of unrelated members of parliament	-	-	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2021-12-15-SDZ8-Izredna-89	ParlaMint-SI_2021-12-15-SDZ8-Izredna-89.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 89, (15. 12. 2021)	2021-12-15	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	SAB	Party of Alenka Bratušek	Opposition	Centre-left	StarovićVojko	Starović, Vojko	M	1952	
ParlaMint-SI-en_2021-12-15-SDZ8-Izredna-89	ParlaMint-SI_2021-12-15-SDZ8-Izredna-89.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 89, (15. 12. 2021)	2021-12-15	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	SimonovičBranko	Simonovič, Branko	M	1953	
ParlaMint-SI-en_2021-12-15-SDZ8-Izredna-89	ParlaMint-SI_2021-12-15-SDZ8-Izredna-89.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 89, (15. 12. 2021)	2021-12-15	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	NP	Parliamentary group of unrelated members of parliament	-	-	SlugaJanja	Sluga, Janja	F	1974	
ParlaMint-SI-en_2021-12-15-SDZ8-Izredna-89	ParlaMint-SI_2021-12-15-SDZ8-Izredna-89.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 89, (15. 12. 2021)	2021-12-15	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	SimonovičBranko	Simonovič, Branko	M	1953	
ParlaMint-SI-en_2021-12-15-SDZ8-Izredna-89	ParlaMint-SI_2021-12-15-SDZ8-Izredna-89.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 89, (15. 12. 2021)	2021-12-15	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	SNS	Slovenian National Party	Opposition	Right to far-right	ŠiškoDušan	Šiško, Dušan	M	1969	
ParlaMint-SI-en_2021-12-15-SDZ8-Izredna-89	ParlaMint-SI_2021-12-15-SDZ8-Izredna-89.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 89, (15. 12. 2021)	2021-12-15	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	SimonovičBranko	Simonovič, Branko	M	1953	
ParlaMint-SI-en_2021-12-15-SDZ8-Izredna-89	ParlaMint-SI_2021-12-15-SDZ8-Izredna-89.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 89, (15. 12. 2021)	2021-12-15	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	IrglEva	Irgl, Eva	F	1976	
ParlaMint-SI-en_2021-12-15-SDZ8-Izredna-89	ParlaMint-SI_2021-12-15-SDZ8-Izredna-89.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 89, (15. 12. 2021)	2021-12-15	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	SimonovičBranko	Simonovič, Branko	M	1953	
ParlaMint-SI-en_2021-12-15-SDZ8-Izredna-89	ParlaMint-SI_2021-12-15-SDZ8-Izredna-89.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 89, (15. 12. 2021)	2021-12-15	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	LMŠ	The List of Marjan Šarec	Opposition	Centre to centre-left	LenartJože	Lenart, Jože	M	1960	
ParlaMint-SI-en_2021-12-15-SDZ8-Izredna-89	ParlaMint-SI_2021-12-15-SDZ8-Izredna-89.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 89, (15. 12. 2021)	2021-12-15	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	SimonovičBranko	Simonovič, Branko	M	1953	
