Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	ŞükranGüldal.Mumcu	Mumcu, Şükran Güldal	F	1951	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0002par0057	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	OsmanAşkın.Bak	Bak, Osman Aşkın	M	1966	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0003par0065	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	ŞükranGüldal.Mumcu	Mumcu, Şükran Güldal	F	1951	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0004par0069	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Mehmet.Altay	Altay, Mehmet	M	1972	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0005par0077	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	ŞükranGüldal.Mumcu	Mumcu, Şükran Güldal	F	1951	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0006par0081	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Özcan.Ulupınar	Ulupınar, Özcan	M	1970	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0007par0101	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	ŞükranGüldal.Mumcu	Mumcu, Şükran Güldal	F	1951	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0008par0105	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Avni.Erdemir	Erdemir, Avni	M	1964	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0009par0112	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	ŞükranGüldal.Mumcu	Mumcu, Şükran Güldal	F	1951	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0010par0116	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Ekrem.Çelebi	Çelebi, Ekrem	M	1965	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0011par0132	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	ŞükranGüldal.Mumcu	Mumcu, Şükran Güldal	F	1951	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0012par0136	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	MuhammedMurtaza.Yetiş	Yetiş, Muhammed Murtaza	M	1972	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0013par0147	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	ŞükranGüldal.Mumcu	Mumcu, Şükran Güldal	F	1951	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0014par0148	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Hasan.Ören	Ören, Hasan	M	1953	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0015par0149	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	MehmetAkif.Hamzaçebi	Hamzaçebi, Mehmet Akif	M	1953	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0013par0150	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	ŞükranGüldal.Mumcu	Mumcu, Şükran Güldal	F	1951	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0015par0151	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	MehmetAkif.Hamzaçebi	Hamzaçebi, Mehmet Akif	M	1953	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0013par0152	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	ŞükranGüldal.Mumcu	Mumcu, Şükran Güldal	F	1951	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0015par0156	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	MehmetAkif.Hamzaçebi	Hamzaçebi, Mehmet Akif	M	1953	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0016par0161	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	ŞükranGüldal.Mumcu	Mumcu, Şükran Güldal	F	1951	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0017par0198	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Mehmet.Erdoğan1956	Erdoğan, Mehmet	M	1956	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0018par0207	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	ŞükranGüldal.Mumcu	Mumcu, Şükran Güldal	F	1951	
ParlaMint-TR-en_2013-12-17-tbmm-T24	tbmm-2013-12-17sit01spe0019par0208	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 4, Session 34	2013-12-17	Unicameralism	24	4	34	-	-	Reference	English	Regular	MP	notMinister	MHP	Nationalist Movement Party	Opposition	Right to far-right	Yusuf.Halaçoğlu	Halaçoğlu, Yusuf	M	1949	
