ParlaMint-UA_2006-05-25-m0.u1	Good morning!
ParlaMint-UA_2006-05-25-m0.u2	Love Ukraine, just as you love the sun, like dew and grass and water. Love Ukraine in a joyful moment, and love it in an hour of distress. Love Ukraine in your dreams and in the appearance of the cherry, your Ukraine, Love the beauty of her life and the new and the language of her word. Love Ukraine and the language of her word. Love for us is the only one in the world. In space, in sweet magic, She's in the mud, in the poplars, she's in every heartbeat. Young man, may it be your laughter and work and your love of death. You cannot love the peoples of others unless you love the country. A girl, like the sky of her dove, love her every minute, A loved one doesn't want you if you don't love the country. Men, and you love in labor, as in battle, as in song that flows through the dawn; Love your Ukraine with all your heart, and we will be with it forever. You're my level, mine and mine. But sit down, black level, with a clear will, And thou shalt be turned away, and the field shall be stretched out. But sow with good grain, and water in the valley, Turn around, level to the right. But sow, not words, but minds! Mind, field! But love the land and the language of its word. Love it. You can't love the peoples of others, If you don't like Ukraine! Love Ukraine! Love Ukraine! Love Ukraine! Love!
ParlaMint-UA_2006-05-25-m0.u3	Dear National Deputies, guests of the Supreme Council of Ukraine! Let me, on behalf of the Supreme Council of the Fourth Assembly and all those present in this Chamber, welcome you with a sincere welcome to the election of the Ukrainian National Deputies, to wish you fruitful and constructive work in the only higher legislative body of Ukraine, the higher representative body of the Ukrainian people, and to wish you such work, your honourable colleagues, and I will say so myself so that you will not have to talk about Ukraine again in the past. In accordance with article 79 of the Constitution, Ukraine’s national deputies have to take an oath before the Supreme Council before taking office. During a solemn session on the occasion of the formation of an oath by the national deputies elected on March 26, 2006, there were Ukraine’s presidents, the head of the Supreme Council of Ukraine, the heads of the government of Ukraine, the members of the Cabinet of Ministers of Ukraine headed by Prime Minister Yuri Ivanovich Yehanurov. True, you will have to decide whether the executioner or the acting Prime Minister, the national deputies of Ukraine at the fourth invocation, the Head of the Central Electoral Commission, the Acting Head and Judge of the Constitutional Court, the Head of the Supreme Court, the Attorney-General, the Authorized Supreme Council of Ukraine of Human Rights, the Head of the Court of Auditors, the Head of the Supreme Council of the Autonomous Republic of Crimea, the Heads of the District, the Sebastopol City Council, the Kiev City Head, the Acting Head of the Supreme Council. Ministers of the Autonomous Republic of Crimea, heads of state administration. Representatives of the diplomatic corps, religious denominations, and the media are also present. In accordance with the Constitution of Ukraine, I invite you to the rostrum of the oldest by age, the most experienced newly elected national deputy of Ukraine, the Hero of Ukraine, John Alexandrovich Gerasimov, to read the text of the oath. [[Applause]] To make an oath, I ask the Ukrainian national deputies to stand up.
ParlaMint-UA_2006-05-25-m0.u4	I swear allegiance to Ukraine. I commit myself to upholding Ukraine’s sovereignty and independence by all my actions, caring for the welfare and welfare of the Ukrainian people. I vow to abide by the Constitution and the laws of Ukraine, to carry out my duties in the interests of all fellow countrymen.
ParlaMint-UA_2006-05-25-m0.u5	Thank you, Ivan Alexanderovich. I'm asking you, dear fellows, to sit down.
ParlaMint-UA_2006-05-25-m0.u6	Please sit down. Ladies and gentlemen, two hours are served for the ceremony of signing the text of the oath by the Ukrainian National Deputies. At this time, you are also invited to address the issue of the formation of MP factions. The oath will be signed by each member of the jury on the third floor. At the same time, those desiring to observe this historical act can be photographed on record. After signing the oath text, you give it to the Apparatus on the second floor at the registration tables. There you will receive your ballots and register for the first plenary session of the Supreme Council of Ukraine of the Fifth Assembly, which will begin at 12 p.m. There's a break to 12 o'clock.
ParlaMint-UA_2006-05-25-m0.u7	Honourable deputies of Ukraine and guests of the Supreme Council! I invite you to open the first session of the Supreme Council of President Viktor Andryovich Yushchenka of Ukraine. [[Applause]] Dear National Deputies! First of all, let me welcome you with the abundant May rain that promises us and a good harvest in our Ukrainian field, and I think in our legislative field too. Allow the Preparatory Group to inform you of the results of the formation of an oath by the Ukrainian National Deputies. On March 26, 2006, the Central Election Commission of Ukraine registered 448 Ukrainian national deputies. After taking an oath, they took office as Ukrainian national deputy and registered for the first meeting of the Supreme Council of Ukraine. Thus, the Supreme Council of Ukraine is fully competent and can begin to carry out its functions. The Supreme Council of Ukraine is calling off its mandate from this moment on. On the basis of article 82 of the Constitution of Ukraine, I invite the oldest national deputy of Ukraine, Hero of Ukraine, to take the veteran of the Great Homeland War, General Gerasimov of the army, John Alexanderovich, up to the rostrum and open the first plenary session of the fifth vocation.
ParlaMint-UA_2006-05-25-m0.u8	The first meeting of the Supreme Council of Ukraine on March 26, 2006, declared open. [[The Moon of the Hymn of Ukraine]] .
ParlaMint-UA_2006-05-25-m0.u9	Please sit down. Dear colleagues, we continue our work. According to article 15 of the Supreme Council of Ukraine’s Rules, I, as the head of the Preparatory MP’s group, have to hold meetings of the Supreme Council of Ukraine to form a temporary presidency of the first session. Ladies and gentlemen, the Supreme Council is to decide on the composition of the temporary presidency of the first session. In accordance with article 18 of the Supreme Council Rules, the Bureau of the First Session consists of five national deputies. It consists of the head of the Preparatory Group and one representative from each of the four political parties, the constituencies that resulted in the election of the National Deputies. Political parties and constituencies were identified for their representatives as part of the temporary session, as reported by the preparatory group. On the basis of these proposals, Ukrainian national deputies, members of the Preparatory Group, have put forward an appropriate draft Decision on the composition of the Interim Bureau of the first session given to you. In this regard, the National Deputy of Ukraine, Alexander Valentinovich Turkinov, has a word from the preparatory group.
ParlaMint-UA_2006-05-25-m0.u10	Dear people of Ukraine! Dear National Deputies! The Honourable President of Ukraine! Dear guests of the Supreme Council! A decision is made at the request of the preparatory working group. I feel now will be the historic moment of the first vote of the Supreme Council. In accordance with the Supreme Council’s Rules, five persons are elected to the Bureau. The head of the temporary working group and four representatives of the factions who obtained the largest number of votes by election. But the Working Group held consultations with, among other things, the Socialist Party of Ukraine, from which the head of the Working Group was elected, and proposed some changes taking into account the situation in the Supreme Council. In particular, what is proposed? It is proposed that all representatives of the five political forces who have chosen a difficult victory during the parliamentary elections be held on a temporary basis. If the Supreme Council does not object, then let me read out the names of the five factions that were introduced into the provisional presidency of the first session of the Supreme Council. From the Party of Regions – Bogatirirov Raisa Vasilovna, from the election bloc of the political parties of the Yulia Party Timoshenko – Turkinova Alexandra Valentinović, from the election bloc of political parties, the Block of “Our Ukraine” – Katerinczuk Mikola Dmitrovic, from the Socialist Party of Ukraine – Boko Ivan Sidorovich, who is the head of the Temporary Working Group and from the Communist Party of Ukraine – Martiniuk Adama Ivanovic. Dear National Deputies! When there are no questions about this decision, before voting, I would ask permission from the Chairman of this session, according to the traditions of the Supreme Council, to welcome with the birthday of those deputies who were having their birthdays. With your permission, I'll read their names and I'd like to give them a warm welcome. This is Bespali Boris Jakovic, Vidrin Dmitry Gnatovich and Selovarov Andri Borisovich. Please welcome them. [[Applause]] According to the tradition of the Supreme Council, this event is always celebrated by the Head of the Supreme Council, but I hope he will soon do it himself. The report is complete.
ParlaMint-UA_2006-05-25-m0.u11	Ladies and gentlemen, if you have no objection to the candidates, to the interim presidency of our session, I'm putting a draft ruling to the vote. Is there no objection? None. Who is it that the National Deputies recommended by our members of the MPs should choose to be part of the Temporary Presidium of our session, please vote? [[12:18:09]] For 434 Presidium elected. And I very much ask all the members of the Presidium to take places here at this table. I think it's right by the alphabet, right next to the Headman. Dear colleagues! We're continuing the meeting. The list of issues to be considered in the period before the formation of the Supreme Council Committees is defined by article 16 of the Supreme Council of Ukraine Rules. The Preparatory Group has agreed on proposals for a change in the sequence of issues identified by the Rules, and the corresponding draft prepared by the Preparatory Group members has been distributed to you. This question is given to a member of the preparatory group, the national deputy of Ukraine, Alexander Mikolayovich Pecklesenko.
