,important,importance,significant,meaningful
nature,-0.03552612289786339,-0.02136579342186451,-0.06893673539161682,-0.007026064209640026
climate,-0.09708168357610703,-0.018095731735229492,-0.12871772050857544,-0.08428306132555008
environment,-0.06529095023870468,-0.030709832906723022,-0.0770953968167305,0.011038502678275108
land,-0.02232341654598713,0.013738353736698627,-0.03159493952989578,0.15353120863437653
forest,,,,
forests,,,,
biodiversity,,,,
restoration,,,,
reforestation,,,,
ecology,,,,
