Session,Date,Left,Centre,Right
ParlaMint-FI-en_2015-04-28-ps-1-meta.tsv,2015-04-28,0,1,3
ParlaMint-FI-en_2015-05-05-ps-2-meta.tsv,2015-05-05,0,8,6
ParlaMint-FI-en_2015-05-06-ps-3-meta.tsv,2015-05-06,0,1,0
ParlaMint-FI-en_2015-05-12-ps-4-meta.tsv,2015-05-12,4,4,12
ParlaMint-FI-en_2015-05-19-ps-5-meta.tsv,2015-05-19,0,0,2
ParlaMint-FI-en_2015-05-22-ps-6-meta.tsv,2015-05-22,0,1,0
ParlaMint-FI-en_2015-05-22-ps-7-meta.tsv,2015-05-22,7,4,7
ParlaMint-FI-en_2015-05-26-ps-8-meta.tsv,2015-05-26,7,2,11
ParlaMint-FI-en_2015-05-28-ps-10-meta.tsv,2015-05-28,0,1,0
ParlaMint-FI-en_2015-05-28-ps-9-meta.tsv,2015-05-28,0,1,0
ParlaMint-FI-en_2015-05-29-ps-11-meta.tsv,2015-05-29,0,0,2
ParlaMint-FI-en_2015-05-29-ps-12-meta.tsv,2015-05-29,0,1,2
ParlaMint-FI-en_2015-06-02-ps-13-meta.tsv,2015-06-02,46,34,42
ParlaMint-FI-en_2015-06-03-ps-14-meta.tsv,2015-06-03,31,35,36
ParlaMint-FI-en_2015-06-04-ps-15-meta.tsv,2015-06-04,0,1,3
ParlaMint-FI-en_2015-06-05-ps-16-meta.tsv,2015-06-05,4,4,5
ParlaMint-FI-en_2015-06-09-ps-17-meta.tsv,2015-06-09,1,1,1
ParlaMint-FI-en_2015-06-10-ps-18-meta.tsv,2015-06-10,9,4,7
ParlaMint-FI-en_2015-06-11-ps-19-meta.tsv,2015-06-11,11,12,11
ParlaMint-FI-en_2015-06-12-ps-20-meta.tsv,2015-06-12,1,0,3
ParlaMint-FI-en_2015-06-16-ps-21-meta.tsv,2015-06-16,13,9,20
ParlaMint-FI-en_2015-06-17-ps-22-meta.tsv,2015-06-17,18,10,14
ParlaMint-FI-en_2015-06-23-ps-23-meta.tsv,2015-06-23,1,1,2
ParlaMint-FI-en_2015-06-24-ps-24-meta.tsv,2015-06-24,24,19,27
ParlaMint-FI-en_2015-06-25-ps-25-meta.tsv,2015-06-25,17,18,18
ParlaMint-FI-en_2015-06-26-ps-26-meta.tsv,2015-06-26,1,1,1
ParlaMint-FI-en_2015-06-29-ps-27-meta.tsv,2015-06-29,18,16,18
ParlaMint-FI-en_2015-06-30-ps-28-meta.tsv,2015-06-30,1,0,1
ParlaMint-FI-en_2015-09-08-ps-29-meta.tsv,2015-09-08,15,7,20
ParlaMint-FI-en_2015-09-09-ps-30-meta.tsv,2015-09-09,1,1,2
ParlaMint-FI-en_2015-09-10-ps-31-meta.tsv,2015-09-10,17,9,21
ParlaMint-FI-en_2015-09-11-ps-32-meta.tsv,2015-09-11,5,0,6
ParlaMint-FI-en_2015-09-15-ps-33-meta.tsv,2015-09-15,12,5,7
ParlaMint-FI-en_2015-09-16-ps-34-meta.tsv,2015-09-16,3,2,4
ParlaMint-FI-en_2015-09-17-ps-35-meta.tsv,2015-09-17,16,6,11
ParlaMint-FI-en_2015-09-18-ps-36-meta.tsv,2015-09-18,4,0,6
ParlaMint-FI-en_2015-09-22-ps-37-meta.tsv,2015-09-22,35,19,28
ParlaMint-FI-en_2015-09-23-ps-38-meta.tsv,2015-09-23,18,10,23
ParlaMint-FI-en_2015-09-24-ps-39-meta.tsv,2015-09-24,19,8,20
ParlaMint-FI-en_2015-09-25-ps-40-meta.tsv,2015-09-25,4,1,4
ParlaMint-FI-en_2015-09-29-ps-41-meta.tsv,2015-09-29,40,31,39
ParlaMint-FI-en_2015-09-30-ps-42-meta.tsv,2015-09-30,39,28,38
ParlaMint-FI-en_2015-10-01-ps-43-meta.tsv,2015-10-01,42,35,50
ParlaMint-FI-en_2015-10-02-ps-44-meta.tsv,2015-10-02,9,13,9
ParlaMint-FI-en_2015-10-06-ps-45-meta.tsv,2015-10-06,31,18,39
ParlaMint-FI-en_2015-10-07-ps-46-meta.tsv,2015-10-07,24,17,22
ParlaMint-FI-en_2015-10-08-ps-47-meta.tsv,2015-10-08,25,12,28
ParlaMint-FI-en_2015-10-09-ps-48-meta.tsv,2015-10-09,6,2,9
ParlaMint-FI-en_2015-10-13-ps-49-meta.tsv,2015-10-13,18,10,18
ParlaMint-FI-en_2015-10-14-ps-50-meta.tsv,2015-10-14,24,17,27
ParlaMint-FI-en_2015-10-15-ps-51-meta.tsv,2015-10-15,15,6,27
ParlaMint-FI-en_2015-10-16-ps-52-meta.tsv,2015-10-16,1,0,1
