Session,Date,Coalition,Opposition
ParlaMint-TR-en_2011-06-28-tbmm-T24-meta.tsv,2011-06-28,4,3
ParlaMint-TR-en_2011-07-04-tbmm-T24-meta.tsv,2011-07-04,3,3
ParlaMint-TR-en_2011-07-05-tbmm-T24-meta.tsv,2011-07-05,5,4
ParlaMint-TR-en_2011-07-06-tbmm-T24-meta.tsv,2011-07-06,2,2
ParlaMint-TR-en_2011-07-07-tbmm-T24-meta.tsv,2011-07-07,1,0
ParlaMint-TR-en_2011-07-08-tbmm-T24-meta.tsv,2011-07-08,2,0
ParlaMint-TR-en_2011-07-11-tbmm-T24-meta.tsv,2011-07-11,17,21
ParlaMint-TR-en_2011-07-12-tbmm-T24-meta.tsv,2011-07-12,1,0
ParlaMint-TR-en_2011-07-13-tbmm-T24-meta.tsv,2011-07-13,2,2
ParlaMint-TR-en_2011-07-14-tbmm-T24-meta.tsv,2011-07-14,3,4
ParlaMint-TR-en_2011-07-15-tbmm-T24-meta.tsv,2011-07-15,16,24
ParlaMint-TR-en_2011-10-01-tbmm-T24-meta.tsv,2011-10-01,1,1
ParlaMint-TR-en_2011-10-04-tbmm-T24-meta.tsv,2011-10-04,4,17
ParlaMint-TR-en_2011-10-05-tbmm-T24-meta.tsv,2011-10-05,13,30
ParlaMint-TR-en_2011-10-06-tbmm-T24-meta.tsv,2011-10-06,6,26
ParlaMint-TR-en_2011-10-11-tbmm-T24-meta.tsv,2011-10-11,7,20
ParlaMint-TR-en_2011-10-12-tbmm-T24-meta.tsv,2011-10-12,19,33
ParlaMint-TR-en_2011-10-13-tbmm-T24-meta.tsv,2011-10-13,14,37
ParlaMint-TR-en_2011-10-18-tbmm-T24-meta.tsv,2011-10-18,26,39
ParlaMint-TR-en_2011-10-19-tbmm-T24-meta.tsv,2011-10-19,7,14
ParlaMint-TR-en_2011-10-20-tbmm-T24-meta.tsv,2011-10-20,1,8
ParlaMint-TR-en_2011-10-25-tbmm-T24-meta.tsv,2011-10-25,19,33
ParlaMint-TR-en_2011-10-26-tbmm-T24-meta.tsv,2011-10-26,11,17
ParlaMint-TR-en_2011-10-27-tbmm-T24-meta.tsv,2011-10-27,19,32
